name,bugs,path
initialize_group_array,0,bash-3.2/general.c
posix_initialize,0,bash-3.2/general.c
legal_identifier,0,bash-3.2/general.c
check_identifier,0,bash-3.2/general.c
legal_alias_name,0,bash-3.2/general.c
assignment,0,bash-3.2/general.c
sh_validfd,0,bash-3.2/general.c
check_dev_tty,0,bash-3.2/general.c
same_file,0,bash-3.2/general.c
move_to_high_fd,0,bash-3.2/general.c
getdtablesize,0,bash-3.2/lib/sh/oslib.c
dup2,0,bash-3.2/lib/sh/oslib.c
check_binary_file,0,bash-3.2/general.c
file_isdir,0,bash-3.2/general.c
file_iswdir,0,bash-3.2/general.c
sh_eaccess,0,bash-3.2/lib/sh/eaccess.c
absolute_pathname,0,bash-3.2/general.c
absolute_program,0,bash-3.2/general.c
xstrchr,0,bash-3.2/lib/sh/xstrchr.c
make_absolute,0,bash-3.2/general.c
sh_makepath,0,bash-3.2/lib/sh/makepath.c
base_pathname,0,bash-3.2/general.c
full_pathname,0,bash-3.2/general.c
bash_tilde_expand,0,bash-3.2/general.c
polite_directory_format,0,bash-3.2/general.c
extract_colon_unit,0,bash-3.2/general.c
tilde_initialize,0,bash-3.2/general.c
strvec_create,0,bash-3.2/lib/sh/stringvec.c
bash_tilde_find_word,0,bash-3.2/general.c
getmaxgroups,0,bash-3.2/lib/sh/oslib.c
group_member,0,bash-3.2/general.c
get_group_list,0,bash-3.2/general.c
get_group_array,0,bash-3.2/general.c
malloc_set_trace,0,bash-3.2/lib/malloc/trace.c
malloc_set_tracefp,0,bash-3.2/lib/malloc/trace.c
malloc_trace_bin,0,bash-3.2/lib/malloc/trace.c
malloc_set_tracefn,0,bash-3.2/lib/malloc/trace.c
mark_dead_jobs_as_notified,0,bash-3.2/jobs.c
xfree,0,bash-3.2/lib/readline/xmalloc.c
xmalloc,0,bash-3.2/builtins/mkbuiltins.c
wait_sigint_handler,0,bash-3.2/nojobs.c
copy_function_def_contents,0,bash-3.2/copy_cmd.c
copy_function_def,0,bash-3.2/copy_cmd.c
copy_word,0,bash-3.2/copy_cmd.c
copy_word_list,0,bash-3.2/copy_cmd.c
copy_redirect,1,bash-3.2/copy_cmd.c
copy_redirects,0,bash-3.2/copy_cmd.c
copy_command,0,bash-3.2/copy_cmd.c
quoted_strchr,0,bash-3.2/subst.c
expand_string_if_necessary,0,bash-3.2/subst.c
expand_string_to_string_internal,0,bash-3.2/subst.c
call_expand_word_internal,0,bash-3.2/subst.c
expand_string_internal,0,bash-3.2/subst.c
expand_string_leave_quoted,0,bash-3.2/subst.c
expand_string_for_rhs,0,bash-3.2/subst.c
list_quote_escapes,0,bash-3.2/subst.c
dequote_escapes,1,bash-3.2/subst.c
make_quoted_char,0,bash-3.2/subst.c
quote_list,0,bash-3.2/subst.c
remove_quoted_escapes,0,bash-3.2/subst.c
remove_quoted_nulls,0,bash-3.2/subst.c
unquoted_substring,0,bash-3.2/subst.c
unquoted_member,0,bash-3.2/subst.c
do_assignment_internal,0,bash-3.2/subst.c
string_extract_verbatim,0,bash-3.2/subst.c
string_extract,0,bash-3.2/subst.c
string_extract_double_quoted,0,bash-3.2/subst.c
string_extract_single_quoted,0,bash-3.2/subst.c
skip_single_quoted,0,bash-3.2/subst.c
skip_double_quoted,0,bash-3.2/subst.c
extract_delimited_string,0,bash-3.2/subst.c
extract_dollar_brace_string,1,bash-3.2/subst.c
pos_params,0,bash-3.2/subst.c
remove_upattern,0,bash-3.2/subst.c
remove_pattern,0,bash-3.2/subst.c
match_pattern_char,0,bash-3.2/subst.c
match_upattern,0,bash-3.2/subst.c
match_pattern,0,bash-3.2/subst.c
getpatspec,0,bash-3.2/subst.c
getpattern,0,bash-3.2/subst.c
list_remove_pattern,0,bash-3.2/subst.c
parameter_list_remove_pattern,0,bash-3.2/subst.c
parameter_brace_remove_pattern,1,bash-3.2/subst.c
read_comsub,1,bash-3.2/subst.c
valid_brace_expansion_word,0,bash-3.2/subst.c
chk_atstar,0,bash-3.2/subst.c
chk_arithsub,0,bash-3.2/subst.c
parameter_brace_expand_word,1,bash-3.2/subst.c
parameter_brace_expand_indir,0,bash-3.2/subst.c
parameter_brace_expand_rhs,0,bash-3.2/subst.c
parameter_brace_expand_error,0,bash-3.2/subst.c
valid_length_expression,0,bash-3.2/subst.c
parameter_brace_expand_length,0,bash-3.2/subst.c
skiparith,0,bash-3.2/subst.c
verify_substring_values,0,bash-3.2/subst.c
get_var_and_type,0,bash-3.2/subst.c
parameter_brace_substring,1,bash-3.2/subst.c
pos_params_pat_subst,0,bash-3.2/subst.c
parameter_brace_patsub,1,bash-3.2/subst.c
parameter_brace_expand,0,bash-3.2/subst.c
param_expand,0,bash-3.2/subst.c
expand_word_internal,0,bash-3.2/subst.c
word_list_split,0,bash-3.2/subst.c
exp_jump_to_top_level,1,bash-3.2/subst.c
separate_out_assignments,0,bash-3.2/subst.c
glob_expand_word_list,1,bash-3.2/subst.c
shell_expand_word_list,0,bash-3.2/subst.c
expand_word_list_internal,0,bash-3.2/subst.c
sub_append_string,0,bash-3.2/subst.c
extract_command_subst,0,bash-3.2/subst.c
extract_arithmetic_subst,0,bash-3.2/subst.c
report_error,0,bash-3.2/error.c
de_backslash,0,bash-3.2/subst.c
string_list_internal,0,bash-3.2/subst.c
string_list,0,bash-3.2/subst.c
string_list_dollar_star,0,bash-3.2/subst.c
string_list_dollar_at,1,bash-3.2/subst.c
list_string,0,bash-3.2/subst.c
get_word_from_string,0,bash-3.2/subst.c
strip_trailing_ifs_whitespace,0,bash-3.2/subst.c
expand_string_assignment,0,bash-3.2/subst.c
xtrace_print_assignment,0,bash-3.2/print_cmd.c
bind_variable,0,bash-3.2/variables.c
stupidly_hack_special_variables,0,bash-3.2/variables.c
do_assignment,0,bash-3.2/subst.c
do_word_assignment,0,bash-3.2/subst.c
do_assignment_no_expand,0,bash-3.2/subst.c
list_rest_of_args,0,bash-3.2/subst.c
number_of_args,0,bash-3.2/subst.c
get_dollar_var_value,0,bash-3.2/subst.c
string_rest_of_args,0,bash-3.2/subst.c
expand_string_to_string,0,bash-3.2/subst.c
expand_string,0,bash-3.2/subst.c
expand_string_unsplit_to_string,0,bash-3.2/subst.c
expand_string_unsplit,0,bash-3.2/subst.c
expand_assignment_string_to_string,0,bash-3.2/subst.c
expand_arith_string,0,bash-3.2/subst.c
dequote_list,0,bash-3.2/subst.c
quote_string_for_globbing,1,bash-3.2/pathexp.c
expand_prompt_string,1,bash-3.2/subst.c
quote_escapes,1,bash-3.2/subst.c
quote_string,0,bash-3.2/subst.c
dequote_string,0,bash-3.2/subst.c
word_list_remove_quoted_nulls,0,bash-3.2/subst.c
strmatch,0,bash-3.2/lib/glob/strmatch.c
expand_word,0,bash-3.2/subst.c
expand_word_unsplit,0,bash-3.2/subst.c
expand_word_leave_quoted,0,bash-3.2/subst.c
sh_mktmpname,0,bash-3.2/lib/sh/tmpfile.c
sys_error,0,bash-3.2/error.c
save_pipeline,0,bash-3.2/jobs.c
main,0,bash-3.2/support/mksignames.c
reset_terminating_signals,0,bash-3.2/sig.c
free_pushed_string_input,0,bash-3.2/y.tab.c
restore_original_signals,0,bash-3.2/trap.c
setup_async_signals,0,bash-3.2/execute_cmd.c
set_sigchld_handler,0,bash-3.2/jobs.c
restore_pipeline,0,bash-3.2/jobs.c
set_sigint_handler,0,bash-3.2/trap.c
set_job_control,0,bash-3.2/jobs.c
close_fd_bitmap,0,bash-3.2/execute_cmd.c
parse_and_execute,1,bash-3.2/builtins/evalstring.c
zread,0,bash-3.2/lib/sh/zread.c
internal_warning,0,bash-3.2/error.c
strip_trailing,0,bash-3.2/stringlib.c
command_substitute,1,bash-3.2/subst.c
maybe_make_export_env,0,bash-3.2/variables.c
cleanup_the_pipeline,0,bash-3.2/jobs.c
reset_signal_handlers,0,bash-3.2/trap.c
run_exit_trap,0,bash-3.2/trap.c
usage,0,bash-3.2/mksyntax.c
err_unboundvar,0,bash-3.2/error.c
dispose_word_desc,0,bash-3.2/dispose_cmd.c
which_set_flags,0,bash-3.2/flags.c
evalexp,1,bash-3.2/expr.c
pat_subst,0,bash-3.2/subst.c
all_variables_matching_prefix,0,bash-3.2/variables.c
strvec_to_word_list,0,bash-3.2/lib/sh/stringvec.c
setifs,0,bash-3.2/subst.c
strnlen,0,bash-3.2/lib/sh/strnlen.c
getifs,0,bash-3.2/subst.c
word_split,0,bash-3.2/subst.c
expand_words,0,bash-3.2/subst.c
expand_words_no_vars,0,bash-3.2/subst.c
expand_words_shellexp,0,bash-3.2/subst.c
unquoted_glob_pattern_p,0,bash-3.2/pathexp.c
shell_glob_filename,0,bash-3.2/pathexp.c
strvec_dispose,0,bash-3.2/lib/sh/stringvec.c
assign_in_env,1,bash-3.2/variables.c
ttgetattr,0,bash-3.2/lib/sh/shtty.c
ttsetattr,0,bash-3.2/lib/sh/shtty.c
ttsave,0,bash-3.2/lib/sh/shtty.c
ttrestore,0,bash-3.2/lib/sh/shtty.c
ttattr,0,bash-3.2/lib/sh/shtty.c
tt_setonechar,0,bash-3.2/lib/sh/shtty.c
tt_setnoecho,0,bash-3.2/lib/sh/shtty.c
tt_seteightbit,0,bash-3.2/lib/sh/shtty.c
tt_setnocanon,0,bash-3.2/lib/sh/shtty.c
tt_setcbreak,0,bash-3.2/lib/sh/shtty.c
ttonechar,0,bash-3.2/lib/sh/shtty.c
ttnoecho,0,bash-3.2/lib/sh/shtty.c
tteightbit,0,bash-3.2/lib/sh/shtty.c
ttnocanon,0,bash-3.2/lib/sh/shtty.c
ttcbreak,0,bash-3.2/lib/sh/shtty.c
mailstat,0,bash-3.2/lib/sh/mailstat.c
find_mail_file,0,bash-3.2/mailcheck.c
update_mail_file,0,bash-3.2/mailcheck.c
add_mail_file,0,bash-3.2/mailcheck.c
file_mod_date_changed,0,bash-3.2/mailcheck.c
file_access_date_changed,0,bash-3.2/mailcheck.c
file_has_grown,0,bash-3.2/mailcheck.c
parse_mailpath_spec,0,bash-3.2/mailcheck.c
time_to_check_mail,0,bash-3.2/mailcheck.c
reset_mail_timer,0,bash-3.2/mailcheck.c
